r,g,b,power
0,0,0,195.66
0,0,12,190.188
0,0,25,190.026
0,0,38,189.936
0,0,51,189.36
0,0,63,189.288
0,0,76,188.496
0,0,89,188.208
0,0,102,188.082
0,0,114,187.884
0,0,127,187.65
0,0,140,187.74
0,0,153,186.66
0,0,165,186.12
0,0,178,186.66
0,0,191,185.58
0,0,204,185.58
0,0,216,186.84
0,0,229,185.76
0,0,242,185.4
0,0,255,185.04
0,12,0,196.56
0,25,0,194.58
0,38,0,193.68
0,51,0,193.5
0,63,0,189
0,76,0,189.18
0,89,0,189.72
0,102,0,189.18
0,114,0,190.98
0,127,0,188.1
0,140,0,190.98
0,153,0,189.54
0,165,0,187.92
0,178,0,192.6
0,191,0,187.74
0,204,0,188.1
0,216,0,187.56
0,229,0,184.32
0,242,0,182.916
0,255,0,180.72
12,0,0,188.1
25,0,0,186.84
38,0,0,186.48
51,0,0,187.2
63,0,0,186.48
76,0,0,185.94
89,0,0,184.32
102,0,0,183.96
114,0,0,186.12
127,0,0,184.68
140,0,0,187.38
153,0,0,185.58
165,0,0,186.66
178,0,0,185.94
191,0,0,185.76
204,0,0,189.36
216,0,0,186.12
229,0,0,185.76
242,0,0,184.32
255,0,0,183.78
