mm,nits
0,0.1332201
0.01580874,0.173452
0.03161748,0.08196755
0.04742622,0.1229091
0.06323496,0.09556348
0.0790437,0.1942176
0.09485244,0.1484738
0.1106612,0.1255099
0.1264699,0.1188811
0.1422787,0.0758637
0.1580874,0.08623942
0.1738961,0.1179899
0.1897049,0.1155216
0.2055136,0.1630153
0.2213224,0.1032704
0.2371311,0.1011881
0.2529399,0.1585996
0.2687486,0.0737012
0.2845573,0.1274564
0.3003661,0.07122103
0.3161748,0.1416896
0.3319835,0.06666126
0.3477923,0.1307311
0.363601,0.07319921
0.3794098,0.1131481
0.3952185,0.09582889
0.4110273,0.1184372
0.426836,0.06176116
0.4426447,0.09418485
0.4584535,0.1394012
0.4742622,0.112117
0.4900709,0.1368031
0.5058797,0.1987723
0.5216885,0.09170049
0.5374972,0.1527497
0.5533059,0.1207122
0.5691146,0.1098978
0.5849234,0.08788296
0.6007321,0.1287541
0.6165408,0.07177451
0.6323496,0.1269102
0.6481584,0.1082901
0.6639671,0.1132806
0.6797758,0.1104613
0.6955846,0.116741
0.7113933,0.09694296
0.7272021,0.08445235
0.7430108,0.104856
0.7588195,0.1526479
0.7746283,0.05044017
0.790437,0.1812527
0.8062457,0.1000739
0.8220545,0.1296079
0.8378633,0.1187799
0.853672,0.07968556
0.8694807,0.1053927
0.8852895,0.1306808
0.9010982,0.1341425
0.916907,0.165145
0.9327157,0.1242867
0.9485244,0.1170159
0.9643332,0.1036729
0.9801419,0.119773
0.9959506,0.09224497
1.011759,0.1129207
1.027568,0.104857
1.043377,0.1003216
1.059186,0.09875753
1.074994,0.1371873
1.090803,0.09382343
1.106612,0.1270309
1.122421,0.1059531
1.138229,0.116838
1.154038,0.171393
1.169847,0.1262827
1.185655,0.1320569
1.201464,0.1145029
1.217273,0.1551692
1.233082,0.1123501
1.248891,0.1093555
1.264699,0.1535354
1.280508,0.08303341
1.296317,0.1440094
1.312125,0.1141756
1.327934,0.08657128
1.343743,0.1238418
1.359552,0.1281142
1.37536,0.1055885
1.391169,0.08707843
1.406978,0.1235785
1.422787,0.1263648
1.438595,0.1202316
1.454404,0.1354742
1.470213,0.103765
1.486022,0.1004252
1.50183,0.1391507
1.517639,0.1349287
1.533448,0.1236869
1.549257,0.1568653
1.565065,0.08986881
1.580874,0.195172
1.596683,0.1043293
1.612491,0.1532674
1.6283,0.1267648
1.644109,0.145397
1.659918,0.1341673
1.675727,0.1650167
1.691535,0.07254735
1.707344,0.1294024
1.723153,0.1048109
1.738961,0.2223695
1.75477,0.1018331
1.770579,0.1566969
1.786388,0.09833097
1.802196,0.115606
1.818005,0.1472676
1.833814,0.1453369
1.849623,0.06785403
1.865431,0.1106541
1.88124,0.06554954
1.897049,0.1173709
1.912858,0.1112401
1.928666,0.09819005
1.944475,0.1545865
1.960284,0.07468394
1.976093,0.1778299
1.991901,0.05939453
2.00771,0.1800653
2.023519,0.1157374
2.039328,0.09626268
2.055136,0.1342655
2.070945,0.09492569
2.086754,0.06111859
2.102562,0.137831
2.118371,0.190078
2.13418,0.2213394
2.149989,0.1768137
2.165797,0.1100443
2.181606,0.1855376
2.197415,0.07361209
2.213224,0.2378547
2.229032,0.06231077
2.244841,0.1018827
2.26065,0.1637197
2.276459,0.07317893
2.292267,0.1491294
2.308076,0.1301578
2.323885,0.1046787
2.339694,0.1785823
2.355502,0.1639062
2.371311,0.105219
2.38712,0.1177325
2.402929,0.1230009
2.418737,0.1859528
2.434546,0.1419269
2.450355,0.0974731
2.466163,0.2562288
2.481972,0.1445014
2.497781,0.1302415
2.51359,0.1039
2.529398,0.1431537
2.545207,0.1480612
2.561016,0.2225875
2.576825,0.2570949
2.592633,0.1503722
2.608442,0.08604139
2.624251,0.1523044
2.64006,0.1292611
2.655868,0.09594756
2.671677,0.06012858
2.687486,0.07975272
2.703295,0.1411468
2.719103,0.1634535
2.734912,0.1982004
2.750721,0.09642787
2.76653,0.1669388
2.782338,0.1704937
2.798147,0.09926909
2.813956,0.108769
2.829765,0.2213904
2.845573,0.2210822
2.861382,0.1210389
2.877191,0.1441561
2.892999,0.134022
2.908808,0.2076938
2.924617,0.1840526
2.940426,0.1936327
2.956234,0.131204
2.972043,0.2157633
2.987852,0.1980858
3.003661,0.1042806
3.019469,0.1187382
3.035278,0.1885086
3.051087,0.1570912
3.066896,0.1353307
3.082704,0.1706514
3.098513,0.1443058
3.114322,0.1010906
3.130131,0.1785645
3.145939,0.2031044
3.161748,0.160024
3.177557,0.1751121
3.193366,0.214669
3.209174,0.1733778
3.224983,0.1314074
3.240792,0.1428659
3.256601,0.1201773
3.272409,0.1353742
3.288218,0.1595061
3.304027,0.1666046
3.319835,0.1660156
3.335644,0.1041821
3.351453,0.2112676
3.367262,0.1722127
3.38307,0.1622747
3.398879,0.1353067
3.414688,0.1780972
3.430497,0.1493829
3.446306,0.2175758
