observer,device,scene,method_A,method_B,param_A,param_B,is_A_selected,condition_1,condition_2
2,O,VR_Scene1.mp4,UniformDimming,DichopticDimming,2,0,0,UniformDimming_2,DichopticDimming_0
2,O,Dunk_3d_0_H.264.mp4,ColorFoveation,WhitepointShift,2,2,1,ColorFoveation_2,WhitepointShift_2
2,O,VR_Scene1.mp4,DichopticDimming,DichopticDimming,0,1,1,DichopticDimming_0,DichopticDimming_1
2,O,VR_Scene1.mp4,Reference,WhitepointShift,0,2,1,Reference_0,WhitepointShift_2
2,O,Dunk_3d_0_H.264.mp4,LuminanceClipping,DichopticDimming,0,1,1,LuminanceClipping_0,DichopticDimming_1
2,O,Sculpture_3d_0_H.264.mp4,Reference,DichopticDimming,0,2,1,Reference_0,DichopticDimming_2
2,O,VR_Scene2.mp4,BrightnessRolloff,LuminanceClipping,2,0,1,BrightnessRolloff_2,LuminanceClipping_0
2,O,VR_Scene1.mp4,Reference,BrightnessRolloff,0,1,0,Reference_0,BrightnessRolloff_1
2,O,Sculpture_3d_0_H.264.mp4,ColorFoveation,WhitepointShift,1,0,0,ColorFoveation_1,WhitepointShift_0
2,O,Dunk_3d_0_H.264.mp4,Reference,WhitepointShift,0,2,1,Reference_0,WhitepointShift_2
2,O,VR_Scene1.mp4,UniformDimming,DichopticDimming,0,2,1,UniformDimming_0,DichopticDimming_2
2,O,Dunk_3d_0_H.264.mp4,Reference,WhitepointShift,0,0,1,Reference_0,WhitepointShift_0
2,O,Street_3d_0_H.264.mp4,ColorFoveation,LuminanceClipping,0,2,0,ColorFoveation_0,LuminanceClipping_2
2,O,Dunk_3d_0_H.264.mp4,UniformDimming,LuminanceClipping,2,0,0,UniformDimming_2,LuminanceClipping_0
2,O,Street_3d_0_H.264.mp4,Reference,DichopticDimming,0,1,1,Reference_0,DichopticDimming_1
2,O,Dunk_3d_0_H.264.mp4,WhitepointShift,LuminanceClipping,0,0,0,WhitepointShift_0,LuminanceClipping_0
2,O,VR_Scene1.mp4,WhitepointShift,DichopticDimming,2,2,0,WhitepointShift_2,DichopticDimming_2
2,O,VR_Scene2.mp4,Reference,BrightnessRolloff,0,2,1,Reference_0,BrightnessRolloff_2
2,O,Sculpture_3d_0_H.264.mp4,Reference,LuminanceClipping,0,0,1,Reference_0,LuminanceClipping_0
2,O,VR_Scene2.mp4,BrightnessRolloff,WhitepointShift,2,2,1,BrightnessRolloff_2,WhitepointShift_2
2,O,Street_3d_0_H.264.mp4,ColorFoveation,DichopticDimming,0,2,1,ColorFoveation_0,DichopticDimming_2
2,O,Dunk_3d_0_H.264.mp4,WhitepointShift,LuminanceClipping,2,0,0,WhitepointShift_2,LuminanceClipping_0
2,O,Dunk_3d_0_H.264.mp4,WhitepointShift,DichopticDimming,1,2,0,WhitepointShift_1,DichopticDimming_2
2,O,Dunk_3d_0_H.264.mp4,BrightnessRolloff,DichopticDimming,1,2,1,BrightnessRolloff_1,DichopticDimming_2
2,O,VR_Scene1.mp4,WhitepointShift,DichopticDimming,0,2,1,WhitepointShift_0,DichopticDimming_2
2,O,VR_Scene1.mp4,ColorFoveation,LuminanceClipping,2,1,0,ColorFoveation_2,LuminanceClipping_1
2,O,Dunk_3d_0_H.264.mp4,Reference,BrightnessRolloff,0,1,1,Reference_0,BrightnessRolloff_1
2,O,VR_Scene1.mp4,ColorFoveation,WhitepointShift,0,2,1,ColorFoveation_0,WhitepointShift_2
2,O,Street_3d_0_H.264.mp4,Reference,UniformDimming,0,0,1,Reference_0,UniformDimming_0
2,O,Dunk_3d_0_H.264.mp4,BrightnessRolloff,ColorFoveation,2,1,1,BrightnessRolloff_2,ColorFoveation_1
2,O,Sculpture_3d_0_H.264.mp4,WhitepointShift,LuminanceClipping,2,2,0,WhitepointShift_2,LuminanceClipping_2
2,O,VR_Scene1.mp4,LuminanceClipping,DichopticDimming,1,0,1,LuminanceClipping_1,DichopticDimming_0
2,O,VR_Scene1.mp4,UniformDimming,LuminanceClipping,0,1,1,UniformDimming_0,LuminanceClipping_1
2,O,Dunk_3d_0_H.264.mp4,ColorFoveation,UniformDimming,1,1,0,ColorFoveation_1,UniformDimming_1
2,O,VR_Scene2.mp4,Reference,LuminanceClipping,0,2,1,Reference_0,LuminanceClipping_2
