condition,jod,jod_se,alpha
Reference_0,1.22515557905436,0.135425329580148,0
WhitepointShift_0,-0.317692757175582,0.149429563310416,1.76
WhitepointShift_1,-1.23702416723201,0.256373870772178,3.46
WhitepointShift_2,-1.87572514801723,0.224906244008889,5.2
BrightnessRolloff_0,0.97366401872049,0.192592771043599,0.64
BrightnessRolloff_1,0.90828421440943,0.177182946862235,0.75
BrightnessRolloff_2,0.623058435365682,0.156714847281942,0.88
ColorFoveation_0,0.535673307774899,0.158944553257523,0.58
ColorFoveation_1,0.0869320915389872,0.171557189063108,0.76
ColorFoveation_2,-0.194069510274037,0.259642328281017,0.93
LuminanceClipping_0,0.286582168489368,0.125530775114882,0.22
LuminanceClipping_1,0.248227193435178,0.199720716706535,0.35
LuminanceClipping_2,-0.680888967900074,0.1735126852905,0.51
UniformDimming_0,0.423988711903329,0.161532534636065,0.17
UniformDimming_1,-0.497373746798911,0.169239701293512,0.32
UniformDimming_2,-1.02729449201429,0.139332902703549,0.45
DichopticDimming_0,0.614150883965991,0.120408785184142,0.33
DichopticDimming_1,0.333912804893981,0.140562892082961,0.45
DichopticDimming_2,-0.15566718238233,0.154004506897048,0.56
